code,region_code,name,source_uuid
101,1,ABOBO EST,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL35
102,1,ABOBO OUEST,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL36
103,1,ANYAMA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL37
104,1,YOPOUGON-EST,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL38
105,1,YOPOUGON-OUEST SONGON,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL39
201,2,ADJAME-PLATEAU-ATTECOUBE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL40
202,2,COCODY BINGERVILLE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL41
203,2,KOUMASSI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL42
204,2,PORT-BOUET-VRIDI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL43
205,2,TREICHVILLE-MARCORY,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL44
301,3,AGBOVILLE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL45
302,3,SIKENSI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL46
303,3,TIASSALE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL47
401,4,KORO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL48
402,4,OUANINOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL49
403,4,TOUBA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL50
501,5,BOUNDIALI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL51
502,5,KOUTO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL52
503,5,TENGRELA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL53
601,6,DIDIEVI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL54
602,6,TIEBISSOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL55
603,6,TOUMODI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL56
604,6,YAMOUSSOUKRO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL57
701,7,DIANRA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL58
702,7,KOUNAHIRI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL59
703,7,MANKONO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL60
801,8,BOUNA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL61
802,8,DOROPO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL62
803,8,NASSIAN,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL63
804,8,TEHINI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL64
901,9,BLOLEQUIN,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL65
902,9,GUIGLO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL66
903,9,TAI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL67
904,9,TOULEUPLEU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL68
1001,10,KANIASSO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL69
1002,10,MINIGNAN,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL70
1101,11,BEOUMI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL71
1102,11,BOTRO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL72
1103,11,BOUAKE NORD-EST,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL73
1104,11,BOUAKE NORD-OUEST,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL74
1105,11,BOUAKE-SUD,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL75
1106,11,SAKASSOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL76
1201,12,FRESCO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL77
1202,12,SASSANDRA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL78
1301,13,GAGNOA 1,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL79
1302,13,GAGNOA 2,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL80
1303,13,OUME,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL81
1401,14,BONDOUKOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL82
1402,14,KOUN-FAO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL83
1403,14,SANDEGUE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL84
1404,14,TANDA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL85
1405,14,TRANSUA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL86
1501,15,DABOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL87
1502,15,GRAND-LAHOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL88
1503,15,JACQUEVILLE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL89
1601,16,BANGOLO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL90
1602,16,DUEKOUE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL91
1603,16,KOUIBLY,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL92
1701,17,DABAKALA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL93
1702,17,KATIOLA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL94
1703,17,NIAKARAMADOUGOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL95
1801,18,DALOA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL96
1802,18,ISSIA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL97
1803,18,VAVOUA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL98
1804,18,ZOUKOUGBEU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL99
1901,19,DAOUKRO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL100
1902,19,MBAHIAKRO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL101
1903,19,PRIKRO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL102
2001,20,ABENGOUROU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL103
2002,20,AGNIBILEKROU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL104
2003,20,BETTIE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL105
2101,21,MADINANI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL106
2102,21,ODIENNE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL107
2201,22,DIVO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL112
2202,22,GUITRY,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL113
2203,22,LAKOTA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL114
2301,23,BOUAFLE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL115
2302,23,SINFRA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL116
2303,23,ZUENOULA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL117
2401,24,ADZOPE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL108
2402,24,AKOUPE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL109
2403,24,ALEPE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL110
2404,24,YAKASSE-ATTOBROU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL111
2501,25,ARRAH,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL118
2502,25,BONGOUANOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL119
2503,25,M'BATTO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL120
2601,26,BUYO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL121
2602,26,GUEYO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL122
2603,26,MEAGUI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL123
2604,26,SOUBRE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL124
2701,27,BOCANDA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL125
2702,27,DIMBOKRO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL126
2703,27,KOUASSI KOUASSIKRO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL127
2801,28,DIKODOUGOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL128
2802,28,KORHOGO 1,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL129
2803,28,KORHOGO 2,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL130
2804,28,M'BENGUE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL131
2805,28,SINEMATIALI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL132
2901,29,SAN-PEDRO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL133
2902,29,TABOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL134
3001,30,ABOISSO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL135
3002,30,ADIAKE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL136
3003,30,GRAND-BASSAM,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL137
3004,30,TIAPOUM,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL138
3101,31,FERKESSEDOUGOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL139
3102,31,KONG,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL140
3103,31,OUANGOLODOUGOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL141
3201,32,BIANKOUMA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL142
3202,32,DANANE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL143
3203,32,MAN,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL144
3204,32,ZOUAN-HOUNIEN,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL145
3301,33,KANI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL146
3302,33,SEGUELA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL147
